Transaction_ID,Date,Account_Name,Description,Amount
1031,2024-10-15,NAB Business 5510,Supplier Payment,-1015
1032,2024-09-08,Wages & Salaries,Payroll,4813
1032,2024-09-08,Superannuation Expense,Payroll,553.5
1032,2024-09-08,PAYG Withholding Payable,Payroll,-1203.25
1032,2024-09-08,Super Guarantee Payable,Payroll,-553.5
1032,2024-09-08,NAB Business 5510,Payroll,-3609.75
1033,2024-11-08,NAB Business 5510,Client Payment,10771
1033,2024-11-08,Services Provided,Client Payment,-9791.82
1033,2024-11-08,GST Collected,Client Payment,-979.18
1034,2024-12-05,Rent - Westfield,Supplier Payment,901.82
1034,2024-12-05,GST Paid,Supplier Payment,90.18
1034,2024-12-05,NAB Business 5510,Supplier Payment,-992
1035,2024-12-03,Office Works - Stationery,Supplier Payment,1205.45
1035,2024-12-03,GST Paid,Supplier Payment,120.55
1035,2024-12-03,NAB Business 5510,Supplier Payment,-1326
1036,2025-01-09,Wages & Salaries,Payroll,7574
1036,2025-01-09,Superannuation Expense,Payroll,871.01
1036,2025-01-09,PAYG Withholding Payable,Payroll,-1893.5
1036,2025-01-09,Super Guarantee Payable,Payroll,-871.01
1036,2025-01-09,NAB Business 5510,Payroll,-5680.5
1037,2025-06-15,NAB Business 5510,Client Payment,4992
1037,2025-06-15,Services Provided,Client Payment,-4538.18
1037,2025-06-15,GST Collected,Client Payment,-453.82
1038,2024-12-15,ATO Integrated Client Account,BAS Payment,4566
1038,2024-12-15,NAB Business 5510,BAS Payment,-4566
1039,2025-01-26,ATO Integrated Client Account,BAS Payment,2009
1039,2025-01-26,NAB Business 5510,BAS Payment,-2009
1040,2024-12-06,NAB Business 5510,Client Payment,7839
1040,2024-12-06,Services Provided,Client Payment,-7126.36
1040,2024-12-06,GST Collected,Client Payment,-712.64
1041,2025-06-03,Share Capital - Ordinary,Capital Injection,-4478
1041,2025-06-03,NAB Business 5510,Capital Injection,4478
1042,2025-03-18,Share Capital - Ordinary,Capital Injection,-1375
1042,2025-03-18,NAB Business 5510,Capital Injection,1375
1043,2024-10-02,Dividends Paid,Owner Drawings/Dividends,2922
1043,2024-10-02,NAB Business 5510,Owner Drawings/Dividends,-2922
1044,2025-01-17,Share Capital - Ordinary,Capital Injection,-3925
1044,2025-01-17,NAB Business 5510,Capital Injection,3925
1045,2025-04-03,Share Capital - Ordinary,Capital Injection,-4434
1045,2025-04-03,NAB Business 5510,Capital Injection,4434
