Transaction_ID,Date,Account_Name,Description,Amount
1010,2024-03-23,Macquarie Cash Management,Payroll,-4061.25
1011,2023-09-22,Bunnings Trade Supplies,Supplier Payment,1333.64
1011,2023-09-22,GST Paid,Supplier Payment,133.36
1011,2023-09-22,Macquarie Cash Management,Supplier Payment,-1467
1012,2024-01-02,ATO Integrated Client Account,BAS Payment,4517
1012,2024-01-02,Macquarie Cash Management,BAS Payment,-4517
1013,2023-08-02,Office Works - Stationery,Supplier Payment,1040.91
1013,2023-08-02,GST Paid,Supplier Payment,104.09
1013,2023-08-02,Macquarie Cash Management,Supplier Payment,-1145
1014,2024-01-09,Wages & Salaries,Payroll,4884
1014,2024-01-09,Superannuation Expense,Payroll,561.66
1014,2024-01-09,PAYG Withholding Payable,Payroll,-1221.0
1014,2024-01-09,Super Guarantee Payable,Payroll,-561.66
1014,2024-01-09,Macquarie Cash Management,Payroll,-3663.0
1015,2023-09-17,ATO Integrated Client Account,BAS Payment,3114
1015,2023-09-17,Macquarie Cash Management,BAS Payment,-3114
1016,2023-08-14,Super Guarantee 11.5%,Supplier Payment,762.73
1016,2023-08-14,GST Paid,Supplier Payment,76.27
1016,2023-08-14,Macquarie Cash Management,Supplier Payment,-839
1017,2024-03-28,ATO Integrated Client Account,BAS Payment,2958
1017,2024-03-28,Macquarie Cash Management,BAS Payment,-2958
1018,2023-08-15,Macquarie Cash Management,Client Payment,4095
1018,2023-08-15,Sales,Client Payment,-3722.73
1018,2023-08-15,GST Collected,Client Payment,-372.27
1019,2023-07-11,ATO Integrated Client Account,BAS Payment,3731
1019,2023-07-11,Macquarie Cash Management,BAS Payment,-3731
1020,2024-06-02,Wages & Salaries,Payroll,3309
1020,2024-06-02,Superannuation Expense,Payroll,380.54
1020,2024-06-02,PAYG Withholding Payable,Payroll,-827.25
1020,2024-06-02,Super Guarantee Payable,Payroll,-380.54
1020,2024-06-02,Macquarie Cash Management,Payroll,-2481.75
1021,2023-07-14,ATO Integrated Client Account,BAS Payment,2929
1021,2023-07-14,Macquarie Cash Management,BAS Payment,-2929
1022,2023-11-24,Wages & Salaries,Payroll,7930
1022,2023-11-24,Superannuation Expense,Payroll,911.95
1022,2023-11-24,PAYG Withholding Payable,Payroll,-1982.5
1022,2023-11-24,Super Guarantee Payable,Payroll,-911.95
1022,2023-11-24,Macquarie Cash Management,Payroll,-5947.5
1023,2023-10-07,Bunnings Trade Supplies,Supplier Payment,1525.45
1023,2023-10-07,GST Paid,Supplier Payment,152.55
1023,2023-10-07,Macquarie Cash Management,Supplier Payment,-1678
1024,2023-11-18,Macquarie Cash Management,Client Payment,7798
1024,2023-11-18,Sales,Client Payment,-7089.09
1024,2023-11-18,GST Collected,Client Payment,-708.91
1025,2023-09-19,Macquarie Cash Management,Client Payment,7757
1025,2023-09-19,Sales,Client Payment,-7051.82
1025,2023-09-19,GST Collected,Client Payment,-705.18
1026,2024-01-22,Rent - Westfield,Supplier Payment,1167.27
1026,2024-01-22,GST Paid,Supplier Payment,116.73
1026,2024-01-22,Macquarie Cash Management,Supplier Payment,-1284
1027,2023-08-07,Qantas Flights,Supplier Payment,240.0
1027,2023-08-07,GST Paid,Supplier Payment,24.0
1027,2023-08-07,Macquarie Cash Management,Supplier Payment,-264
1028,2023-07-23,ATO Integrated Client Account,BAS Payment,2493
1028,2023-07-23,Macquarie Cash Management,BAS Payment,-2493
1029,2024-01-08,Macquarie Cash Management,Client Payment,9341
1029,2024-01-08,Sales,Client Payment,-8491.82
1029,2024-01-08,GST Collected,Client Payment,-849.18
1030,2024-01-06,ATO Integrated Client Account,BAS Payment,4660
1030,2024-01-06,Macquarie Cash Management,BAS Payment,-4660
1031,2023-07-24,Wages & Salaries,Payroll,3331
1031,2023-07-24,Superannuation Expense,Payroll,383.06
1031,2023-07-24,PAYG Withholding Payable,Payroll,-832.75
1031,2023-07-24,Super Guarantee Payable,Payroll,-383.06
1031,2023-07-24,Macquarie Cash Management,Payroll,-2498.25
1032,2024-04-07,Wages & Salaries,Payroll,3287
1032,2024-04-07,Superannuation Expense,Payroll,378.0
1032,2024-04-07,PAYG Withholding Payable,Payroll,-821.75
1032,2024-04-07,Super Guarantee Payable,Payroll,-378.0
1032,2024-04-07,Macquarie Cash Management,Payroll,-2465.25
1033,2024-01-13,Macquarie Cash Management,Client Payment,8277
1033,2024-01-13,Sales,Client Payment,-7524.55
1033,2024-01-13,GST Collected,Client Payment,-752.45
1034,2023-10-14,Macquarie Cash Management,Client Payment,6842
1034,2023-10-14,Sales,Client Payment,-6220.0
1034,2023-10-14,GST Collected,Client Payment,-622.0
1035,2023-10-22,Wages & Salaries,Payroll,5657
1035,2023-10-22,Superannuation Expense,Payroll,650.56
1035,2023-10-22,PAYG Withholding Payable,Payroll,-1414.25
1035,2023-10-22,Super Guarantee Payable,Payroll,-650.56
1035,2023-10-22,Macquarie Cash Management,Payroll,-4242.75
1036,2024-04-17,Xero Subscription,Supplier Payment,1626.36
1036,2024-04-17,GST Paid,Supplier Payment,162.64
1036,2024-04-17,Macquarie Cash Management,Supplier Payment,-1789
1037,2023-07-27,ATO Integrated Client Account,BAS Payment,2640
1037,2023-07-27,Macquarie Cash Management,BAS Payment,-2640
1038,2024-05-30,Rent - Westfield,Supplier Payment,146.36
1038,2024-05-30,GST Paid,Supplier Payment,14.64
1038,2024-05-30,Macquarie Cash Management,Supplier Payment,-161
1039,2023-10-27,Telstra Internet,Supplier Payment,1013.64
1039,2023-10-27,GST Paid,Supplier Payment,101.36
1039,2023-10-27,Macquarie Cash Management,Supplier Payment,-1115
1040,2024-03-13,Bunnings Trade Supplies,Supplier Payment,1723.64
1040,2024-03-13,GST Paid,Supplier Payment,172.36
1040,2024-03-13,Macquarie Cash Management,Supplier Payment,-1896
1041,2023-09-13,Settlement Sum,Capital Injection,-2303
1041,2023-09-13,Macquarie Cash Management,Capital Injection,2303
1042,2024-05-25,Beneficiary Drawings,Owner Drawings/Dividends,1175
1042,2024-05-25,Macquarie Cash Management,Owner Drawings/Dividends,-1175
1043,2023-09-17,Beneficiary Drawings,Owner Drawings/Dividends,1482
1043,2023-09-17,Macquarie Cash Management,Owner Drawings/Dividends,-1482
1044,2023-08-20,Beneficiary Drawings,Owner Drawings/Dividends,2006
1044,2023-08-20,Macquarie Cash Management,Owner Drawings/Dividends,-2006
1045,2023-12-22,Beneficiary Drawings,Owner Drawings/Dividends,2483
1045,2023-12-22,Macquarie Cash Management,Owner Drawings/Dividends,-2483
