Transaction_ID,Date,Account_Name,Description,Amount
1035,2025-02-02,CBA Business Account,Client Payment,1736.4
1035,2025-02-02,Sales Revenue,Client Payment,-1578.55
1035,2025-02-02,GST Collected,Client Payment,-157.85
1008,2025-02-05,Rent Expense,Monthly Office Rent,1000.0
1008,2025-02-05,GST Paid,Monthly Office Rent,100.0
1008,2025-02-05,CBA Business Account,Monthly Office Rent,-1100.0
1009,2025-03-05,Rent Expense,Monthly Office Rent,1000.0
1009,2025-03-05,GST Paid,Monthly Office Rent,100.0
1009,2025-03-05,CBA Business Account,Monthly Office Rent,-1100.0
1022,2025-03-16,Office Supplies,Stationery & Supplies,113.39
1022,2025-03-16,GST Paid,Stationery & Supplies,11.34
1022,2025-03-16,CBA Business Account,Stationery & Supplies,-124.73
1010,2025-04-05,Rent Expense,Monthly Office Rent,1000.0
1010,2025-04-05,GST Paid,Monthly Office Rent,100.0
1010,2025-04-05,CBA Business Account,Monthly Office Rent,-1100.0
1036,2025-04-06,CBA Business Account,Client Payment,2379.53
1036,2025-04-06,Sales Revenue,Client Payment,-2163.21
1036,2025-04-06,GST Collected,Client Payment,-216.32
1037,2025-04-29,CBA Business Account,Client Payment,3385.92
1037,2025-04-29,Sales Revenue,Client Payment,-3078.11
1037,2025-04-29,GST Collected,Client Payment,-307.81
1011,2025-05-05,Rent Expense,Monthly Office Rent,1000.0
1011,2025-05-05,GST Paid,Monthly Office Rent,100.0
1011,2025-05-05,CBA Business Account,Monthly Office Rent,-1100.0
1023,2025-05-05,Office Supplies,Stationery & Supplies,91.68
1023,2025-05-05,GST Paid,Stationery & Supplies,9.17
1023,2025-05-05,CBA Business Account,Stationery & Supplies,-100.85
1038,2025-05-24,CBA Business Account,Client Payment,4156.36
1038,2025-05-24,Sales Revenue,Client Payment,-3778.5
1038,2025-05-24,GST Collected,Client Payment,-377.85
1012,2025-06-05,Rent Expense,Monthly Office Rent,1000.0
1012,2025-06-05,GST Paid,Monthly Office Rent,100.0
1012,2025-06-05,CBA Business Account,Monthly Office Rent,-1100.0
1039,2025-06-12,CBA Business Account,Client Payment,2584.91
1039,2025-06-12,Sales Revenue,Client Payment,-2349.91
1039,2025-06-12,GST Collected,Client Payment,-234.99
